Case ID,Activity,Timestamp,Lifecycle,Resource
1,process,2026-01-01T00:10:44.372Z,start,system
1,charge,2026-01-01T00:10:44.372Z,enable,system
1,soap,2026-01-01T00:10:44.372Z,enable,system
1,charge,2026-01-01T00:10:44.372Z,begin,cashier
1,soap,2026-01-01T00:10:44.372Z,begin,attendant-0
1,charge,2026-01-01T00:12:55.249Z,terminate,cashier
2,process,2026-01-01T00:14:31.642Z,start,system
2,charge,2026-01-01T00:14:31.642Z,enable,system
2,soap,2026-01-01T00:14:31.642Z,enable,system
2,charge,2026-01-01T00:14:31.642Z,begin,cashier
2,soap,2026-01-01T00:14:31.642Z,begin,attendant-1
2,charge,2026-01-01T00:16:12.069Z,terminate,cashier
3,process,2026-01-01T00:23:19.262Z,start,system
3,charge,2026-01-01T00:23:19.262Z,enable,system
3,soap,2026-01-01T00:23:19.262Z,enable,system
3,charge,2026-01-01T00:23:19.262Z,begin,cashier
3,soap,2026-01-01T00:23:19.262Z,begin,attendant-2
4,process,2026-01-01T00:25:04.894Z,start,system
4,charge,2026-01-01T00:25:04.894Z,enable,system
4,soap,2026-01-01T00:25:04.894Z,enable,system
3,charge,2026-01-01T00:25:16.796Z,terminate,cashier
4,charge,2026-01-01T00:25:16.796Z,begin,cashier
4,charge,2026-01-01T00:29:06.582Z,terminate,cashier
1,soap,2026-01-01T00:33:02.643Z,terminate,attendant-0
1,rinse,2026-01-01T00:33:02.643Z,begin,attendant-0
2,soap,2026-01-01T00:38:51.057Z,terminate,attendant-1
2,rinse,2026-01-01T00:38:51.057Z,begin,attendant-1
1,rinse,2026-01-01T00:39:22.273Z,terminate,attendant-0
1,dry,2026-01-01T00:39:22.273Z,begin,attendant-0
5,process,2026-01-01T00:45:24.885Z,start,system
5,charge,2026-01-01T00:45:24.885Z,enable,system
5,soap,2026-01-01T00:45:24.885Z,enable,system
5,charge,2026-01-01T00:45:24.885Z,begin,cashier
3,soap,2026-01-01T00:46:19.821Z,terminate,attendant-2
3,rinse,2026-01-01T00:46:19.821Z,begin,attendant-2
2,rinse,2026-01-01T00:47:33.584Z,terminate,attendant-1
2,dry,2026-01-01T00:47:33.584Z,begin,attendant-1
5,charge,2026-01-01T00:48:13.045Z,terminate,cashier
3,rinse,2026-01-01T00:55:53.049Z,terminate,attendant-2
3,dry,2026-01-01T00:55:53.049Z,begin,attendant-2
1,dry,2026-01-01T01:03:42.257Z,terminate,attendant-0
1,vacuum,2026-01-01T01:03:42.257Z,begin,attendant-0
2,dry,2026-01-01T01:05:10.898Z,terminate,attendant-1
2,process,2026-01-01T01:05:10.898Z,end,system
4,soap,2026-01-01T01:05:10.898Z,begin,attendant-1
6,process,2026-01-01T01:10:01.306Z,start,system
6,charge,2026-01-01T01:10:01.306Z,enable,system
6,soap,2026-01-01T01:10:01.306Z,enable,system
6,charge,2026-01-01T01:10:01.306Z,begin,cashier
6,charge,2026-01-01T01:11:27.028Z,terminate,cashier
1,vacuum,2026-01-01T01:12:28.798Z,terminate,attendant-0
1,process,2026-01-01T01:12:28.798Z,end,system
5,soap,2026-01-01T01:12:28.798Z,begin,attendant-0
7,process,2026-01-01T01:17:04.826Z,start,system
7,charge,2026-01-01T01:17:04.826Z,enable,system
7,soap,2026-01-01T01:17:04.826Z,enable,system
7,charge,2026-01-01T01:17:04.826Z,begin,cashier
7,charge,2026-01-01T01:20:17.938Z,terminate,cashier
3,dry,2026-01-01T01:27:42.402Z,terminate,attendant-2
3,process,2026-01-01T01:27:42.402Z,end,system
6,soap,2026-01-01T01:27:42.402Z,begin,attendant-2
4,soap,2026-01-01T01:28:12.518Z,terminate,attendant-1
4,rinse,2026-01-01T01:28:12.518Z,begin,attendant-1
8,process,2026-01-01T01:29:09.860Z,start,system
8,charge,2026-01-01T01:29:09.860Z,enable,system
8,soap,2026-01-01T01:29:09.860Z,enable,system
8,charge,2026-01-01T01:29:09.860Z,begin,cashier
8,charge,2026-01-01T01:30:51.686Z,terminate,cashier
5,soap,2026-01-01T01:33:36.998Z,terminate,attendant-0
5,rinse,2026-01-01T01:33:36.998Z,begin,attendant-0
4,rinse,2026-01-01T01:34:39.657Z,terminate,attendant-1
4,dry,2026-01-01T01:34:39.657Z,begin,attendant-1
5,rinse,2026-01-01T01:41:45.211Z,terminate,attendant-0
5,dry,2026-01-01T01:41:45.211Z,begin,attendant-0
6,soap,2026-01-01T01:46:58.547Z,terminate,attendant-2
6,rinse,2026-01-01T01:46:58.547Z,begin,attendant-2
9,process,2026-01-01T01:47:35.251Z,start,system
9,charge,2026-01-01T01:47:35.251Z,enable,system
9,soap,2026-01-01T01:47:35.251Z,enable,system
9,charge,2026-01-01T01:47:35.251Z,begin,cashier
9,charge,2026-01-01T01:49:58.499Z,terminate,cashier
6,rinse,2026-01-01T01:55:45.959Z,terminate,attendant-2
6,dry,2026-01-01T01:55:45.959Z,begin,attendant-2
5,dry,2026-01-01T02:00:18.619Z,terminate,attendant-0
5,vacuum,2026-01-01T02:00:18.619Z,begin,attendant-0
4,dry,2026-01-01T02:02:59.706Z,terminate,attendant-1
4,vacuum,2026-01-01T02:02:59.706Z,begin,attendant-1
10,process,2026-01-01T02:07:57.120Z,turn away,system
4,vacuum,2026-01-01T02:09:38.805Z,terminate,attendant-1
4,process,2026-01-01T02:09:38.805Z,end,system
7,soap,2026-01-01T02:09:38.805Z,begin,attendant-1
11,process,2026-01-01T02:14:37.236Z,start,system
11,charge,2026-01-01T02:14:37.236Z,enable,system
11,soap,2026-01-01T02:14:37.236Z,enable,system
11,charge,2026-01-01T02:14:37.236Z,begin,cashier
5,vacuum,2026-01-01T02:16:05.952Z,terminate,attendant-0
5,process,2026-01-01T02:16:05.952Z,end,system
8,soap,2026-01-01T02:16:05.952Z,begin,attendant-0
12,process,2026-01-01T02:16:36.684Z,start,system
12,charge,2026-01-01T02:16:36.684Z,enable,system
12,soap,2026-01-01T02:16:36.684Z,enable,system
11,charge,2026-01-01T02:17:39.285Z,terminate,cashier
12,charge,2026-01-01T02:17:39.285Z,begin,cashier
12,charge,2026-01-01T02:19:18.029Z,terminate,cashier
6,dry,2026-01-01T02:20:35.345Z,terminate,attendant-2
6,process,2026-01-01T02:20:35.345Z,end,system
9,soap,2026-01-01T02:20:35.345Z,begin,attendant-2
13,process,2026-01-01T02:31:04.687Z,start,system
13,charge,2026-01-01T02:31:04.687Z,enable,system
13,soap,2026-01-01T02:31:04.687Z,enable,system
13,charge,2026-01-01T02:31:04.687Z,begin,cashier
14,process,2026-01-01T02:31:56.599Z,turn away,system
13,charge,2026-01-01T02:33:02.803Z,terminate,cashier
7,soap,2026-01-01T02:34:26.337Z,terminate,attendant-1
7,rinse,2026-01-01T02:34:26.337Z,begin,attendant-1
8,soap,2026-01-01T02:38:32.946Z,terminate,attendant-0
8,rinse,2026-01-01T02:38:32.946Z,begin,attendant-0
9,soap,2026-01-01T02:40:13.118Z,terminate,attendant-2
9,rinse,2026-01-01T02:40:13.118Z,begin,attendant-2
7,rinse,2026-01-01T02:40:30.764Z,terminate,attendant-1
7,dry,2026-01-01T02:40:30.764Z,begin,attendant-1
8,rinse,2026-01-01T02:45:51.718Z,terminate,attendant-0
8,dry,2026-01-01T02:45:51.718Z,begin,attendant-0
9,rinse,2026-01-01T02:45:54.363Z,terminate,attendant-2
9,dry,2026-01-01T02:45:54.363Z,begin,attendant-2
15,process,2026-01-01T02:53:09.425Z,turn away,system
16,process,2026-01-01T03:04:46.997Z,turn away,system
17,process,2026-01-01T03:06:14.612Z,turn away,system
7,dry,2026-01-01T03:10:34.985Z,terminate,attendant-1
7,process,2026-01-01T03:10:34.985Z,end,system
11,soap,2026-01-01T03:10:34.985Z,begin,attendant-1
8,dry,2026-01-01T03:11:12.059Z,terminate,attendant-0
8,vacuum,2026-01-01T03:11:12.059Z,begin,attendant-0
9,dry,2026-01-01T03:12:00.955Z,terminate,attendant-2
9,process,2026-01-01T03:12:00.955Z,end,system
12,soap,2026-01-01T03:12:00.955Z,begin,attendant-2
8,vacuum,2026-01-01T03:26:30.347Z,terminate,attendant-0
8,process,2026-01-01T03:26:30.347Z,end,system
13,soap,2026-01-01T03:26:30.347Z,begin,attendant-0
12,soap,2026-01-01T03:30:49.722Z,terminate,attendant-2
12,rinse,2026-01-01T03:30:49.722Z,begin,attendant-2
11,soap,2026-01-01T03:31:16.589Z,terminate,attendant-1
11,rinse,2026-01-01T03:31:16.589Z,begin,attendant-1
11,rinse,2026-01-01T03:39:07.260Z,terminate,attendant-1
11,dry,2026-01-01T03:39:07.260Z,begin,attendant-1
12,rinse,2026-01-01T03:39:17.102Z,terminate,attendant-2
12,dry,2026-01-01T03:39:17.102Z,begin,attendant-2
13,soap,2026-01-01T03:50:27.579Z,terminate,attendant-0
13,rinse,2026-01-01T03:50:27.579Z,begin,attendant-0
12,dry,2026-01-01T03:57:03.829Z,terminate,attendant-2
12,vacuum,2026-01-01T03:57:03.829Z,begin,attendant-2
13,rinse,2026-01-01T03:57:22.455Z,terminate,attendant-0
13,dry,2026-01-01T03:57:22.455Z,begin,attendant-0
11,dry,2026-01-01T04:02:58.984Z,terminate,attendant-1
11,process,2026-01-01T04:02:58.984Z,end,system
18,process,2026-01-01T04:07:58.520Z,start,system
18,charge,2026-01-01T04:07:58.520Z,enable,system
18,soap,2026-01-01T04:07:58.520Z,enable,system
18,charge,2026-01-01T04:07:58.520Z,begin,cashier
18,soap,2026-01-01T04:07:58.520Z,begin,attendant-1
18,charge,2026-01-01T04:08:59.541Z,terminate,cashier
12,vacuum,2026-01-01T04:09:40.251Z,terminate,attendant-2
12,process,2026-01-01T04:09:40.251Z,end,system
19,process,2026-01-01T04:16:59.240Z,start,system
19,charge,2026-01-01T04:16:59.240Z,enable,system
19,soap,2026-01-01T04:16:59.240Z,enable,system
19,charge,2026-01-01T04:16:59.240Z,begin,cashier
19,soap,2026-01-01T04:16:59.240Z,begin,attendant-2
20,process,2026-01-01T04:16:59.599Z,start,system
20,charge,2026-01-01T04:16:59.599Z,enable,system
20,soap,2026-01-01T04:16:59.599Z,enable,system
21,process,2026-01-01T04:18:14.327Z,start,system
21,charge,2026-01-01T04:18:14.327Z,enable,system
21,soap,2026-01-01T04:18:14.327Z,enable,system
19,charge,2026-01-01T04:19:50.980Z,terminate,cashier
20,charge,2026-01-01T04:19:50.980Z,begin,cashier
20,charge,2026-01-01T04:22:33.511Z,terminate,cashier
21,charge,2026-01-01T04:22:33.511Z,begin,cashier
21,charge,2026-01-01T04:23:29.472Z,terminate,cashier
22,process,2026-01-01T04:23:48.309Z,start,system
22,charge,2026-01-01T04:23:48.309Z,enable,system
22,soap,2026-01-01T04:23:48.309Z,enable,system
22,charge,2026-01-01T04:23:48.309Z,begin,cashier
18,soap,2026-01-01T04:24:15.063Z,terminate,attendant-1
18,rinse,2026-01-01T04:24:15.063Z,begin,attendant-1
13,dry,2026-01-01T04:24:39.123Z,terminate,attendant-0
13,process,2026-01-01T04:24:39.123Z,end,system
20,soap,2026-01-01T04:24:39.123Z,begin,attendant-0
22,charge,2026-01-01T04:25:45.122Z,terminate,cashier
18,rinse,2026-01-01T04:32:01.972Z,terminate,attendant-1
18,dry,2026-01-01T04:32:01.972Z,begin,attendant-1
19,soap,2026-01-01T04:33:30.914Z,terminate,attendant-2
19,rinse,2026-01-01T04:33:30.914Z,begin,attendant-2
19,rinse,2026-01-01T04:40:48.867Z,terminate,attendant-2
19,dry,2026-01-01T04:40:48.867Z,begin,attendant-2
20,soap,2026-01-01T04:43:29.579Z,terminate,attendant-0
20,rinse,2026-01-01T04:43:29.579Z,begin,attendant-0
23,process,2026-01-01T04:46:31.706Z,start,system
23,charge,2026-01-01T04:46:31.706Z,enable,system
23,soap,2026-01-01T04:46:31.706Z,enable,system
23,charge,2026-01-01T04:46:31.706Z,begin,cashier
23,charge,2026-01-01T04:48:05.166Z,terminate,cashier
20,rinse,2026-01-01T04:50:54.517Z,terminate,attendant-0
20,dry,2026-01-01T04:50:54.517Z,begin,attendant-0
18,dry,2026-01-01T04:56:00.901Z,terminate,attendant-1
18,process,2026-01-01T04:56:00.901Z,end,system
21,soap,2026-01-01T04:56:00.901Z,begin,attendant-1
19,dry,2026-01-01T05:01:28.712Z,terminate,attendant-2
19,process,2026-01-01T05:01:28.712Z,end,system
22,soap,2026-01-01T05:01:28.712Z,begin,attendant-2
20,dry,2026-01-01T05:20:15.880Z,terminate,attendant-0
20,process,2026-01-01T05:20:15.880Z,end,system
23,soap,2026-01-01T05:20:15.880Z,begin,attendant-0
22,soap,2026-01-01T05:20:33.206Z,terminate,attendant-2
22,rinse,2026-01-01T05:20:33.206Z,begin,attendant-2
21,soap,2026-01-01T05:21:04.076Z,terminate,attendant-1
21,rinse,2026-01-01T05:21:04.076Z,begin,attendant-1
22,rinse,2026-01-01T05:27:46.607Z,terminate,attendant-2
22,dry,2026-01-01T05:27:46.607Z,begin,attendant-2
21,rinse,2026-01-01T05:28:44.218Z,terminate,attendant-1
21,dry,2026-01-01T05:28:44.218Z,begin,attendant-1
23,soap,2026-01-01T05:40:46.264Z,terminate,attendant-0
23,rinse,2026-01-01T05:40:46.264Z,begin,attendant-0
24,process,2026-01-01T05:42:00.674Z,start,system
24,charge,2026-01-01T05:42:00.674Z,enable,system
24,soap,2026-01-01T05:42:00.674Z,enable,system
24,charge,2026-01-01T05:42:00.674Z,begin,cashier
24,charge,2026-01-01T05:43:40.842Z,terminate,cashier
21,dry,2026-01-01T05:46:29.306Z,terminate,attendant-1
21,vacuum,2026-01-01T05:46:29.306Z,begin,attendant-1
23,rinse,2026-01-01T05:48:00.397Z,terminate,attendant-0
23,dry,2026-01-01T05:48:00.397Z,begin,attendant-0
22,dry,2026-01-01T05:50:58.578Z,terminate,attendant-2
22,process,2026-01-01T05:50:58.578Z,end,system
24,soap,2026-01-01T05:50:58.578Z,begin,attendant-2
21,vacuum,2026-01-01T05:54:57.516Z,terminate,attendant-1
21,process,2026-01-01T05:54:57.516Z,end,system
25,process,2026-01-01T06:13:12.062Z,start,system
25,charge,2026-01-01T06:13:12.062Z,enable,system
25,soap,2026-01-01T06:13:12.062Z,enable,system
25,charge,2026-01-01T06:13:12.062Z,begin,cashier
25,soap,2026-01-01T06:13:12.062Z,begin,attendant-1
25,charge,2026-01-01T06:14:16.751Z,terminate,cashier
24,soap,2026-01-01T06:14:27.696Z,terminate,attendant-2
24,rinse,2026-01-01T06:14:27.696Z,begin,attendant-2
23,dry,2026-01-01T06:20:58.838Z,terminate,attendant-0
23,process,2026-01-01T06:20:58.838Z,end,system
24,rinse,2026-01-01T06:22:45.863Z,terminate,attendant-2
24,dry,2026-01-01T06:22:45.863Z,begin,attendant-2
25,soap,2026-01-01T06:33:45.341Z,terminate,attendant-1
25,rinse,2026-01-01T06:33:45.341Z,begin,attendant-1
26,process,2026-01-01T06:36:24.604Z,start,system
26,charge,2026-01-01T06:36:24.604Z,enable,system
26,soap,2026-01-01T06:36:24.604Z,enable,system
26,charge,2026-01-01T06:36:24.604Z,begin,cashier
26,soap,2026-01-01T06:36:24.604Z,begin,attendant-0
26,charge,2026-01-01T06:39:49.693Z,terminate,cashier
25,rinse,2026-01-01T06:41:49.388Z,terminate,attendant-1
25,dry,2026-01-01T06:41:49.388Z,begin,attendant-1
24,dry,2026-01-01T06:53:34.367Z,terminate,attendant-2
24,process,2026-01-01T06:53:34.367Z,end,system
26,soap,2026-01-01T06:54:28.458Z,terminate,attendant-0
26,rinse,2026-01-01T06:54:28.458Z,begin,attendant-0
26,rinse,2026-01-01T07:03:14.890Z,terminate,attendant-0
26,dry,2026-01-01T07:03:14.890Z,begin,attendant-0
25,dry,2026-01-01T07:05:07.906Z,terminate,attendant-1
25,process,2026-01-01T07:05:07.906Z,end,system
26,dry,2026-01-01T07:32:55.897Z,terminate,attendant-0
26,process,2026-01-01T07:32:55.897Z,end,system
27,process,2026-01-01T08:01:23.544Z,start,system
27,charge,2026-01-01T08:01:23.544Z,enable,system
27,soap,2026-01-01T08:01:23.544Z,enable,system
27,charge,2026-01-01T08:01:23.544Z,begin,cashier
27,soap,2026-01-01T08:01:23.544Z,begin,attendant-2
27,charge,2026-01-01T08:02:19.033Z,terminate,cashier
27,soap,2026-01-01T08:24:46.022Z,terminate,attendant-2
27,rinse,2026-01-01T08:24:46.022Z,begin,attendant-2
27,rinse,2026-01-01T08:31:04.482Z,terminate,attendant-2
27,dry,2026-01-01T08:31:04.482Z,begin,attendant-2
27,dry,2026-01-01T08:54:18.476Z,terminate,attendant-2
27,process,2026-01-01T08:54:18.476Z,end,system
28,process,2026-01-01T09:24:34.089Z,start,system
28,charge,2026-01-01T09:24:34.089Z,enable,system
28,soap,2026-01-01T09:24:34.089Z,enable,system
28,charge,2026-01-01T09:24:34.089Z,begin,cashier
28,soap,2026-01-01T09:24:34.089Z,begin,attendant-1
