Case ID,Activity,Timestamp,Lifecycle,Resource
1,process,2026-01-01T00:08:08.458Z,start,system
1,charge,2026-01-01T00:08:08.458Z,enable,system
1,soap,2026-01-01T00:08:08.458Z,enable,system
1,charge,2026-01-01T00:08:08.458Z,begin,cashier
1,soap,2026-01-01T00:08:08.458Z,begin,attendant-0
1,charge,2026-01-01T00:09:35.615Z,terminate,cashier
2,process,2026-01-01T00:24:30.065Z,start,system
2,charge,2026-01-01T00:24:30.065Z,enable,system
2,soap,2026-01-01T00:24:30.065Z,enable,system
2,charge,2026-01-01T00:24:30.065Z,begin,cashier
2,soap,2026-01-01T00:24:30.065Z,begin,attendant-1
2,charge,2026-01-01T00:26:01.166Z,terminate,cashier
1,soap,2026-01-01T00:27:35.787Z,terminate,attendant-0
1,rinse,2026-01-01T00:27:35.787Z,begin,attendant-0
1,rinse,2026-01-01T00:35:26.718Z,terminate,attendant-0
1,dry,2026-01-01T00:35:26.718Z,begin,attendant-0
3,process,2026-01-01T00:36:42.406Z,start,system
3,charge,2026-01-01T00:36:42.406Z,enable,system
3,soap,2026-01-01T00:36:42.406Z,enable,system
3,charge,2026-01-01T00:36:42.406Z,begin,cashier
3,soap,2026-01-01T00:36:42.406Z,begin,attendant-2
3,charge,2026-01-01T00:39:04.676Z,terminate,cashier
2,soap,2026-01-01T00:47:58.756Z,terminate,attendant-1
2,rinse,2026-01-01T00:47:58.756Z,begin,attendant-1
1,dry,2026-01-01T00:52:42.908Z,terminate,attendant-0
1,process,2026-01-01T00:52:42.908Z,end,system
2,rinse,2026-01-01T00:56:28.088Z,terminate,attendant-1
2,dry,2026-01-01T00:56:28.088Z,begin,attendant-1
3,soap,2026-01-01T00:58:58.836Z,terminate,attendant-2
3,rinse,2026-01-01T00:58:58.836Z,begin,attendant-2
3,rinse,2026-01-01T01:06:48.531Z,terminate,attendant-2
3,dry,2026-01-01T01:06:48.531Z,begin,attendant-2
2,dry,2026-01-01T01:28:10.955Z,terminate,attendant-1
2,vacuum,2026-01-01T01:28:10.955Z,begin,attendant-1
3,dry,2026-01-01T01:33:11.076Z,terminate,attendant-2
3,process,2026-01-01T01:33:11.076Z,end,system
4,process,2026-01-01T01:39:01.918Z,start,system
4,charge,2026-01-01T01:39:01.918Z,enable,system
4,soap,2026-01-01T01:39:01.918Z,enable,system
4,charge,2026-01-01T01:39:01.918Z,begin,cashier
4,soap,2026-01-01T01:39:01.918Z,begin,attendant-0
4,charge,2026-01-01T01:41:13.986Z,terminate,cashier
2,vacuum,2026-01-01T01:44:36.202Z,terminate,attendant-1
2,process,2026-01-01T01:44:36.202Z,end,system
5,process,2026-01-01T01:57:10.485Z,start,system
5,charge,2026-01-01T01:57:10.485Z,enable,system
5,soap,2026-01-01T01:57:10.485Z,enable,system
5,charge,2026-01-01T01:57:10.485Z,begin,cashier
5,soap,2026-01-01T01:57:10.485Z,begin,attendant-2
5,charge,2026-01-01T01:59:13.869Z,terminate,cashier
4,soap,2026-01-01T02:01:01.880Z,terminate,attendant-0
4,rinse,2026-01-01T02:01:01.880Z,begin,attendant-0
4,rinse,2026-01-01T02:07:30.038Z,terminate,attendant-0
4,dry,2026-01-01T02:07:30.038Z,begin,attendant-0
5,soap,2026-01-01T02:23:07.231Z,terminate,attendant-2
5,rinse,2026-01-01T02:23:07.231Z,begin,attendant-2
4,dry,2026-01-01T02:27:05.064Z,terminate,attendant-0
4,process,2026-01-01T02:27:05.064Z,end,system
5,rinse,2026-01-01T02:30:05.589Z,terminate,attendant-2
5,dry,2026-01-01T02:30:05.589Z,begin,attendant-2
5,dry,2026-01-01T02:49:26.828Z,terminate,attendant-2
5,process,2026-01-01T02:49:26.828Z,end,system
6,process,2026-01-01T03:09:14.823Z,start,system
6,charge,2026-01-01T03:09:14.823Z,enable,system
6,soap,2026-01-01T03:09:14.823Z,enable,system
6,charge,2026-01-01T03:09:14.823Z,begin,cashier
6,soap,2026-01-01T03:09:14.823Z,begin,attendant-1
6,charge,2026-01-01T03:12:06.174Z,terminate,cashier
6,soap,2026-01-01T03:28:09.018Z,terminate,attendant-1
6,rinse,2026-01-01T03:28:09.018Z,begin,attendant-1
6,rinse,2026-01-01T03:35:35.077Z,terminate,attendant-1
6,dry,2026-01-01T03:35:35.077Z,begin,attendant-1
7,process,2026-01-01T03:46:35.740Z,start,system
7,charge,2026-01-01T03:46:35.740Z,enable,system
7,soap,2026-01-01T03:46:35.740Z,enable,system
7,charge,2026-01-01T03:46:35.740Z,begin,cashier
7,soap,2026-01-01T03:46:35.740Z,begin,attendant-0
8,process,2026-01-01T03:48:26.855Z,start,system
8,charge,2026-01-01T03:48:26.855Z,enable,system
8,soap,2026-01-01T03:48:26.855Z,enable,system
8,soap,2026-01-01T03:48:26.855Z,begin,attendant-2
7,charge,2026-01-01T03:49:50.501Z,terminate,cashier
8,charge,2026-01-01T03:49:50.501Z,begin,cashier
8,charge,2026-01-01T03:51:21.662Z,terminate,cashier
9,process,2026-01-01T03:55:26.498Z,start,system
9,charge,2026-01-01T03:55:26.498Z,enable,system
9,soap,2026-01-01T03:55:26.498Z,enable,system
9,charge,2026-01-01T03:55:26.498Z,begin,cashier
9,charge,2026-01-01T03:56:43.831Z,terminate,cashier
10,process,2026-01-01T03:57:24.254Z,start,system
10,charge,2026-01-01T03:57:24.254Z,enable,system
10,soap,2026-01-01T03:57:24.254Z,enable,system
10,charge,2026-01-01T03:57:24.254Z,begin,cashier
10,charge,2026-01-01T04:00:35.360Z,terminate,cashier
6,dry,2026-01-01T04:03:37.073Z,terminate,attendant-1
6,process,2026-01-01T04:03:37.073Z,end,system
9,soap,2026-01-01T04:03:37.073Z,begin,attendant-1
7,soap,2026-01-01T04:06:54.530Z,terminate,attendant-0
7,rinse,2026-01-01T04:06:54.530Z,begin,attendant-0
8,soap,2026-01-01T04:08:05.229Z,terminate,attendant-2
8,rinse,2026-01-01T04:08:05.229Z,begin,attendant-2
7,rinse,2026-01-01T04:14:20.748Z,terminate,attendant-0
7,dry,2026-01-01T04:14:20.748Z,begin,attendant-0
8,rinse,2026-01-01T04:14:40.422Z,terminate,attendant-2
8,dry,2026-01-01T04:14:40.422Z,begin,attendant-2
11,process,2026-01-01T04:19:33.585Z,start,system
11,charge,2026-01-01T04:19:33.585Z,enable,system
11,soap,2026-01-01T04:19:33.585Z,enable,system
11,charge,2026-01-01T04:19:33.585Z,begin,cashier
11,charge,2026-01-01T04:21:00.828Z,terminate,cashier
9,soap,2026-01-01T04:21:01.597Z,terminate,attendant-1
9,rinse,2026-01-01T04:21:01.597Z,begin,attendant-1
9,rinse,2026-01-01T04:26:50.580Z,terminate,attendant-1
9,dry,2026-01-01T04:26:50.580Z,begin,attendant-1
7,dry,2026-01-01T04:36:47.021Z,terminate,attendant-0
7,process,2026-01-01T04:36:47.021Z,end,system
10,soap,2026-01-01T04:36:47.021Z,begin,attendant-0
8,dry,2026-01-01T04:42:01.076Z,terminate,attendant-2
8,process,2026-01-01T04:42:01.076Z,end,system
11,soap,2026-01-01T04:42:01.076Z,begin,attendant-2
9,dry,2026-01-01T04:50:56.169Z,terminate,attendant-1
9,vacuum,2026-01-01T04:50:56.169Z,begin,attendant-1
12,process,2026-01-01T04:53:41.051Z,start,system
12,charge,2026-01-01T04:53:41.051Z,enable,system
12,soap,2026-01-01T04:53:41.051Z,enable,system
12,charge,2026-01-01T04:53:41.051Z,begin,cashier
12,charge,2026-01-01T04:55:01.143Z,terminate,cashier
11,soap,2026-01-01T04:58:43.484Z,terminate,attendant-2
11,rinse,2026-01-01T04:58:43.484Z,begin,attendant-2
10,soap,2026-01-01T05:01:10.794Z,terminate,attendant-0
10,rinse,2026-01-01T05:01:10.794Z,begin,attendant-0
13,process,2026-01-01T05:03:12.616Z,start,system
13,charge,2026-01-01T05:03:12.616Z,enable,system
13,soap,2026-01-01T05:03:12.616Z,enable,system
13,charge,2026-01-01T05:03:12.616Z,begin,cashier
11,rinse,2026-01-01T05:05:31.388Z,terminate,attendant-2
11,dry,2026-01-01T05:05:31.388Z,begin,attendant-2
13,charge,2026-01-01T05:06:26.845Z,terminate,cashier
10,rinse,2026-01-01T05:09:04.729Z,terminate,attendant-0
10,dry,2026-01-01T05:09:04.729Z,begin,attendant-0
14,process,2026-01-01T05:13:16.179Z,start,system
14,charge,2026-01-01T05:13:16.179Z,enable,system
14,soap,2026-01-01T05:13:16.179Z,enable,system
14,charge,2026-01-01T05:13:16.179Z,begin,cashier
14,charge,2026-01-01T05:14:35.756Z,terminate,cashier
9,vacuum,2026-01-01T05:18:47.113Z,terminate,attendant-1
9,process,2026-01-01T05:18:47.113Z,end,system
12,soap,2026-01-01T05:18:47.113Z,begin,attendant-1
15,process,2026-01-01T05:19:13.664Z,start,system
15,charge,2026-01-01T05:19:13.664Z,enable,system
15,soap,2026-01-01T05:19:13.664Z,enable,system
15,charge,2026-01-01T05:19:13.664Z,begin,cashier
15,charge,2026-01-01T05:20:44.303Z,terminate,cashier
16,process,2026-01-01T05:28:18.625Z,turn away,system
11,dry,2026-01-01T05:30:39.107Z,terminate,attendant-2
11,vacuum,2026-01-01T05:30:39.107Z,begin,attendant-2
10,dry,2026-01-01T05:31:49.812Z,terminate,attendant-0
10,process,2026-01-01T05:31:49.812Z,end,system
13,soap,2026-01-01T05:31:49.812Z,begin,attendant-0
11,vacuum,2026-01-01T05:39:46.750Z,terminate,attendant-2
11,process,2026-01-01T05:39:46.750Z,end,system
14,soap,2026-01-01T05:39:46.750Z,begin,attendant-2
12,soap,2026-01-01T05:43:03.497Z,terminate,attendant-1
12,rinse,2026-01-01T05:43:03.497Z,begin,attendant-1
17,process,2026-01-01T05:49:58.703Z,start,system
17,charge,2026-01-01T05:49:58.703Z,enable,system
17,soap,2026-01-01T05:49:58.703Z,enable,system
17,charge,2026-01-01T05:49:58.703Z,begin,cashier
12,rinse,2026-01-01T05:50:30.147Z,terminate,attendant-1
12,dry,2026-01-01T05:50:30.147Z,begin,attendant-1
17,charge,2026-01-01T05:52:42.910Z,terminate,cashier
13,soap,2026-01-01T05:56:43.654Z,terminate,attendant-0
13,rinse,2026-01-01T05:56:43.654Z,begin,attendant-0
14,soap,2026-01-01T06:02:59.875Z,terminate,attendant-2
14,rinse,2026-01-01T06:02:59.875Z,begin,attendant-2
13,rinse,2026-01-01T06:06:01.252Z,terminate,attendant-0
13,dry,2026-01-01T06:06:01.252Z,begin,attendant-0
14,rinse,2026-01-01T06:10:38.545Z,terminate,attendant-2
14,dry,2026-01-01T06:10:38.545Z,begin,attendant-2
12,dry,2026-01-01T06:15:34.101Z,terminate,attendant-1
12,vacuum,2026-01-01T06:15:34.101Z,begin,attendant-1
13,dry,2026-01-01T06:26:20.247Z,terminate,attendant-0
13,process,2026-01-01T06:26:20.247Z,end,system
