Case ID,Activity,Timestamp,Lifecycle,Resource
1,process,2026-01-01T00:08:08.639Z,start,system
1,charge,2026-01-01T00:08:08.639Z,enable,system
1,soap,2026-01-01T00:08:08.639Z,enable,system
1,charge,2026-01-01T00:08:08.639Z,begin,cashier
1,soap,2026-01-01T00:08:08.639Z,begin,attendant-0
1,charge,2026-01-01T00:10:55.370Z,terminate,cashier
2,process,2026-01-01T00:17:33.948Z,start,system
2,charge,2026-01-01T00:17:33.948Z,enable,system
2,soap,2026-01-01T00:17:33.948Z,enable,system
2,charge,2026-01-01T00:17:33.948Z,begin,cashier
2,soap,2026-01-01T00:17:33.948Z,begin,attendant-1
3,process,2026-01-01T00:18:15.487Z,start,system
3,charge,2026-01-01T00:18:15.487Z,enable,system
3,soap,2026-01-01T00:18:15.487Z,enable,system
3,soap,2026-01-01T00:18:15.487Z,begin,attendant-2
2,charge,2026-01-01T00:21:02.732Z,terminate,cashier
3,charge,2026-01-01T00:21:02.732Z,begin,cashier
3,charge,2026-01-01T00:22:02.502Z,terminate,cashier
1,soap,2026-01-01T00:25:01.247Z,terminate,attendant-0
1,rinse,2026-01-01T00:25:01.247Z,begin,attendant-0
4,process,2026-01-01T00:31:07.958Z,start,system
4,charge,2026-01-01T00:31:07.958Z,enable,system
4,soap,2026-01-01T00:31:07.958Z,enable,system
4,charge,2026-01-01T00:31:07.958Z,begin,cashier
1,rinse,2026-01-01T00:33:31Z,terminate,attendant-0
1,dry,2026-01-01T00:33:31Z,begin,attendant-0
4,charge,2026-01-01T00:34:34.648Z,terminate,cashier
5,process,2026-01-01T00:35:52.563Z,start,system
5,charge,2026-01-01T00:35:52.563Z,enable,system
5,soap,2026-01-01T00:35:52.563Z,enable,system
5,charge,2026-01-01T00:35:52.563Z,begin,cashier
3,soap,2026-01-01T00:35:54.606Z,terminate,attendant-2
3,rinse,2026-01-01T00:35:54.606Z,begin,attendant-2
2,soap,2026-01-01T00:37:16.150Z,terminate,attendant-1
2,rinse,2026-01-01T00:37:16.150Z,begin,attendant-1
5,charge,2026-01-01T00:37:38.418Z,terminate,cashier
3,rinse,2026-01-01T00:42:25.480Z,terminate,attendant-2
3,dry,2026-01-01T00:42:25.480Z,begin,attendant-2
2,rinse,2026-01-01T00:45:25.852Z,terminate,attendant-1
2,dry,2026-01-01T00:45:25.852Z,begin,attendant-1
1,dry,2026-01-01T00:50:35.552Z,terminate,attendant-0
1,vacuum,2026-01-01T00:50:35.552Z,begin,attendant-0
6,process,2026-01-01T00:51:47.424Z,start,system
6,charge,2026-01-01T00:51:47.424Z,enable,system
6,soap,2026-01-01T00:51:47.424Z,enable,system
6,charge,2026-01-01T00:51:47.424Z,begin,cashier
6,charge,2026-01-01T00:54:36.347Z,terminate,cashier
7,process,2026-01-01T00:56:12.185Z,turn away,system
3,dry,2026-01-01T01:08:27.896Z,terminate,attendant-2
3,vacuum,2026-01-01T01:08:27.896Z,begin,attendant-2
8,process,2026-01-01T01:13:04.896Z,turn away,system
2,dry,2026-01-01T01:13:11.065Z,terminate,attendant-1
2,process,2026-01-01T01:13:11.065Z,end,system
4,soap,2026-01-01T01:13:11.065Z,begin,attendant-1
1,vacuum,2026-01-01T01:15:30.124Z,terminate,attendant-0
1,process,2026-01-01T01:15:30.124Z,end,system
5,soap,2026-01-01T01:15:30.124Z,begin,attendant-0
3,vacuum,2026-01-01T01:17:27.648Z,terminate,attendant-2
3,process,2026-01-01T01:17:27.648Z,end,system
6,soap,2026-01-01T01:17:27.648Z,begin,attendant-2
9,process,2026-01-01T01:19:58.632Z,start,system
9,charge,2026-01-01T01:19:58.632Z,enable,system
9,soap,2026-01-01T01:19:58.632Z,enable,system
9,charge,2026-01-01T01:19:58.632Z,begin,cashier
9,charge,2026-01-01T01:22:54.202Z,terminate,cashier
4,soap,2026-01-01T01:34:58.090Z,terminate,attendant-1
4,rinse,2026-01-01T01:34:58.090Z,begin,attendant-1
10,process,2026-01-01T01:36:17.906Z,start,system
