Case ID,Activity,Timestamp,Lifecycle,Resource
1,process,2026-01-01T00:07:32.511Z,start,system
1,charge,2026-01-01T00:07:32.511Z,enable,system
1,soap,2026-01-01T00:07:32.511Z,enable,system
1,charge,2026-01-01T00:07:32.511Z,begin,cashier
1,soap,2026-01-01T00:07:32.511Z,begin,attendant-0
1,charge,2026-01-01T00:09:44.480Z,terminate,cashier
1,soap,2026-01-01T00:23:56.934Z,terminate,attendant-0
1,rinse,2026-01-01T00:23:56.934Z,begin,attendant-0
2,process,2026-01-01T00:27:56.739Z,start,system
2,charge,2026-01-01T00:27:56.739Z,enable,system
2,soap,2026-01-01T00:27:56.739Z,enable,system
2,charge,2026-01-01T00:27:56.739Z,begin,cashier
2,soap,2026-01-01T00:27:56.739Z,begin,attendant-1
2,charge,2026-01-01T00:29:43.308Z,terminate,cashier
1,rinse,2026-01-01T00:30:29.162Z,terminate,attendant-0
1,dry,2026-01-01T00:30:29.162Z,begin,attendant-0
2,soap,2026-01-01T00:50:54.607Z,terminate,attendant-1
2,rinse,2026-01-01T00:50:54.607Z,begin,attendant-1
1,dry,2026-01-01T00:53:54.922Z,terminate,attendant-0
1,vacuum,2026-01-01T00:53:54.922Z,begin,attendant-0
2,rinse,2026-01-01T00:59:51.707Z,terminate,attendant-1
2,dry,2026-01-01T00:59:51.707Z,begin,attendant-1
1,vacuum,2026-01-01T01:10:51.748Z,terminate,attendant-0
1,process,2026-01-01T01:10:51.748Z,end,system
2,dry,2026-01-01T01:20:50.495Z,terminate,attendant-1
2,process,2026-01-01T01:20:50.495Z,end,system
3,process,2026-01-01T01:43:10.803Z,start,system
3,charge,2026-01-01T01:43:10.803Z,enable,system
3,soap,2026-01-01T01:43:10.803Z,enable,system
3,charge,2026-01-01T01:43:10.803Z,begin,cashier
3,soap,2026-01-01T01:43:10.803Z,begin,attendant-2
3,charge,2026-01-01T01:45:19.516Z,terminate,cashier
4,process,2026-01-01T01:58:21.416Z,start,system
4,charge,2026-01-01T01:58:21.416Z,enable,system
4,soap,2026-01-01T01:58:21.416Z,enable,system
4,charge,2026-01-01T01:58:21.416Z,begin,cashier
4,soap,2026-01-01T01:58:21.416Z,begin,attendant-0
4,charge,2026-01-01T01:59:39.387Z,terminate,cashier
3,soap,2026-01-01T02:12:06.341Z,terminate,attendant-2
3,rinse,2026-01-01T02:12:06.341Z,begin,attendant-2
4,soap,2026-01-01T02:18:15.568Z,terminate,attendant-0
4,rinse,2026-01-01T02:18:15.568Z,begin,attendant-0
3,rinse,2026-01-01T02:21:06.453Z,terminate,attendant-2
3,dry,2026-01-01T02:21:06.453Z,begin,attendant-2
5,process,2026-01-01T02:23:48.256Z,start,system
5,charge,2026-01-01T02:23:48.256Z,enable,system
5,soap,2026-01-01T02:23:48.256Z,enable,system
5,charge,2026-01-01T02:23:48.256Z,begin,cashier
5,soap,2026-01-01T02:23:48.256Z,begin,attendant-1
5,charge,2026-01-01T02:25:20.200Z,terminate,cashier
4,rinse,2026-01-01T02:26:21.963Z,terminate,attendant-0
4,dry,2026-01-01T02:26:21.963Z,begin,attendant-0
3,dry,2026-01-01T02:46:42.152Z,terminate,attendant-2
3,process,2026-01-01T02:46:42.152Z,end,system
4,dry,2026-01-01T02:47:52.564Z,terminate,attendant-0
4,vacuum,2026-01-01T02:47:52.564Z,begin,attendant-0
5,soap,2026-01-01T02:51:22.795Z,terminate,attendant-1
5,rinse,2026-01-01T02:51:22.795Z,begin,attendant-1
6,process,2026-01-01T02:55:51.337Z,start,system
6,charge,2026-01-01T02:55:51.337Z,enable,system
6,soap,2026-01-01T02:55:51.337Z,enable,system
6,charge,2026-01-01T02:55:51.337Z,begin,cashier
6,soap,2026-01-01T02:55:51.337Z,begin,attendant-2
7,process,2026-01-01T02:56:51.911Z,start,system
7,charge,2026-01-01T02:56:51.911Z,enable,system
7,soap,2026-01-01T02:56:51.911Z,enable,system
6,charge,2026-01-01T02:58:28.966Z,terminate,cashier
7,charge,2026-01-01T02:58:28.966Z,begin,cashier
5,rinse,2026-01-01T02:58:51.605Z,terminate,attendant-1
5,dry,2026-01-01T02:58:51.605Z,begin,attendant-1
7,charge,2026-01-01T03:01:01.272Z,terminate,cashier
4,vacuum,2026-01-01T03:12:13.207Z,terminate,attendant-0
4,process,2026-01-01T03:12:13.207Z,end,system
7,soap,2026-01-01T03:12:13.207Z,begin,attendant-0
8,process,2026-01-01T03:15:03.326Z,start,system
8,charge,2026-01-01T03:15:03.326Z,enable,system
8,soap,2026-01-01T03:15:03.326Z,enable,system
8,charge,2026-01-01T03:15:03.326Z,begin,cashier
6,soap,2026-01-01T03:15:20.325Z,terminate,attendant-2
6,rinse,2026-01-01T03:15:20.325Z,begin,attendant-2
8,charge,2026-01-01T03:16:42.127Z,terminate,cashier
6,rinse,2026-01-01T03:21:53.944Z,terminate,attendant-2
6,dry,2026-01-01T03:21:53.944Z,begin,attendant-2
9,process,2026-01-01T03:22:38.427Z,start,system
9,charge,2026-01-01T03:22:38.427Z,enable,system
9,soap,2026-01-01T03:22:38.427Z,enable,system
9,charge,2026-01-01T03:22:38.427Z,begin,cashier
5,dry,2026-01-01T03:22:40.047Z,terminate,attendant-1
5,process,2026-01-01T03:22:40.047Z,end,system
8,soap,2026-01-01T03:22:40.047Z,begin,attendant-1
9,charge,2026-01-01T03:23:57.914Z,terminate,cashier
7,soap,2026-01-01T03:34:44.688Z,terminate,attendant-0
7,rinse,2026-01-01T03:34:44.688Z,begin,attendant-0
10,process,2026-01-01T03:36:49.203Z,start,system
10,charge,2026-01-01T03:36:49.203Z,enable,system
10,soap,2026-01-01T03:36:49.203Z,enable,system
10,charge,2026-01-01T03:36:49.203Z,begin,cashier
10,charge,2026-01-01T03:38:16.701Z,terminate,cashier
7,rinse,2026-01-01T03:43:05.378Z,terminate,attendant-0
7,dry,2026-01-01T03:43:05.378Z,begin,attendant-0
8,soap,2026-01-01T03:43:39.693Z,terminate,attendant-1
8,rinse,2026-01-01T03:43:39.693Z,begin,attendant-1
6,dry,2026-01-01T03:46:15.267Z,terminate,attendant-2
6,process,2026-01-01T03:46:15.267Z,end,system
9,soap,2026-01-01T03:46:15.267Z,begin,attendant-2
8,rinse,2026-01-01T03:50:46.109Z,terminate,attendant-1
8,dry,2026-01-01T03:50:46.109Z,begin,attendant-1
11,process,2026-01-01T03:58:00.590Z,start,system
11,charge,2026-01-01T03:58:00.590Z,enable,system
11,soap,2026-01-01T03:58:00.590Z,enable,system
11,charge,2026-01-01T03:58:00.590Z,begin,cashier
11,charge,2026-01-01T04:00:56.627Z,terminate,cashier
7,dry,2026-01-01T04:03:56.302Z,terminate,attendant-0
7,process,2026-01-01T04:03:56.302Z,end,system
10,soap,2026-01-01T04:03:56.302Z,begin,attendant-0
8,dry,2026-01-01T04:07:36.969Z,terminate,attendant-1
8,vacuum,2026-01-01T04:07:36.969Z,begin,attendant-1
9,soap,2026-01-01T04:09:08.848Z,terminate,attendant-2
9,rinse,2026-01-01T04:09:08.848Z,begin,attendant-2
9,rinse,2026-01-01T04:15:50.378Z,terminate,attendant-2
9,dry,2026-01-01T04:15:50.378Z,begin,attendant-2
8,vacuum,2026-01-01T04:20:33.805Z,terminate,attendant-1
8,process,2026-01-01T04:20:33.805Z,end,system
11,soap,2026-01-01T04:20:33.805Z,begin,attendant-1
10,soap,2026-01-01T04:24:30.067Z,terminate,attendant-0
10,rinse,2026-01-01T04:24:30.067Z,begin,attendant-0
10,rinse,2026-01-01T04:33:26.615Z,terminate,attendant-0
10,dry,2026-01-01T04:33:26.615Z,begin,attendant-0
12,process,2026-01-01T04:41:26.342Z,start,system
12,charge,2026-01-01T04:41:26.342Z,enable,system
12,soap,2026-01-01T04:41:26.342Z,enable,system
12,charge,2026-01-01T04:41:26.342Z,begin,cashier
12,charge,2026-01-01T04:43:53.389Z,terminate,cashier
9,dry,2026-01-01T04:44:41.371Z,terminate,attendant-2
9,process,2026-01-01T04:44:41.371Z,end,system
12,soap,2026-01-01T04:44:41.371Z,begin,attendant-2
11,soap,2026-01-01T04:48:01.658Z,terminate,attendant-1
11,rinse,2026-01-01T04:48:01.658Z,begin,attendant-1
11,rinse,2026-01-01T04:56:07.168Z,terminate,attendant-1
11,dry,2026-01-01T04:56:07.168Z,begin,attendant-1
13,process,2026-01-01T05:01:21.660Z,start,system
13,charge,2026-01-01T05:01:21.660Z,enable,system
13,soap,2026-01-01T05:01:21.660Z,enable,system
13,charge,2026-01-01T05:01:21.660Z,begin,cashier
10,dry,2026-01-01T05:02:24.510Z,terminate,attendant-0
10,vacuum,2026-01-01T05:02:24.510Z,begin,attendant-0
13,charge,2026-01-01T05:02:59.079Z,terminate,cashier
