Case ID,Activity,Timestamp,Lifecycle,Resource
1,process,2026-01-01T00:07:30.217Z,start,system
1,charge,2026-01-01T00:07:30.217Z,enable,system
1,soap,2026-01-01T00:07:30.217Z,enable,system
1,charge,2026-01-01T00:07:30.217Z,begin,cashier
1,soap,2026-01-01T00:07:30.217Z,begin,attendant-0
1,charge,2026-01-01T00:08:52.341Z,terminate,cashier
1,soap,2026-01-01T00:32:52.096Z,terminate,attendant-0
1,rinse,2026-01-01T00:32:52.096Z,begin,attendant-0
1,rinse,2026-01-01T00:40:02.221Z,terminate,attendant-0
1,dry,2026-01-01T00:40:02.221Z,begin,attendant-0
2,process,2026-01-01T00:43:29.314Z,start,system
2,charge,2026-01-01T00:43:29.314Z,enable,system
2,soap,2026-01-01T00:43:29.314Z,enable,system
2,charge,2026-01-01T00:43:29.314Z,begin,cashier
2,soap,2026-01-01T00:43:29.314Z,begin,attendant-1
2,charge,2026-01-01T00:44:55.964Z,terminate,cashier
3,process,2026-01-01T00:45:38.656Z,start,system
3,charge,2026-01-01T00:45:38.656Z,enable,system
3,soap,2026-01-01T00:45:38.656Z,enable,system
3,charge,2026-01-01T00:45:38.656Z,begin,cashier
3,soap,2026-01-01T00:45:38.656Z,begin,attendant-2
4,process,2026-01-01T00:46:28.092Z,start,system
4,charge,2026-01-01T00:46:28.092Z,enable,system
4,soap,2026-01-01T00:46:28.092Z,enable,system
3,charge,2026-01-01T00:47:38.495Z,terminate,cashier
4,charge,2026-01-01T00:47:38.495Z,begin,cashier
4,charge,2026-01-01T00:48:47.985Z,terminate,cashier
1,dry,2026-01-01T01:02:43.735Z,terminate,attendant-0
1,vacuum,2026-01-01T01:02:43.735Z,begin,attendant-0
2,soap,2026-01-01T01:04:34.897Z,terminate,attendant-1
2,rinse,2026-01-01T01:04:34.897Z,begin,attendant-1
3,soap,2026-01-01T01:10:24.447Z,terminate,attendant-2
3,rinse,2026-01-01T01:10:24.447Z,begin,attendant-2
1,vacuum,2026-01-01T01:11:43.915Z,terminate,attendant-0
1,process,2026-01-01T01:11:43.915Z,end,system
4,soap,2026-01-01T01:11:43.915Z,begin,attendant-0
2,rinse,2026-01-01T01:12:53.623Z,terminate,attendant-1
2,dry,2026-01-01T01:12:53.623Z,begin,attendant-1
3,rinse,2026-01-01T01:17:44.445Z,terminate,attendant-2
3,dry,2026-01-01T01:17:44.445Z,begin,attendant-2
5,process,2026-01-01T01:18:37.562Z,start,system
5,charge,2026-01-01T01:18:37.562Z,enable,system
5,soap,2026-01-01T01:18:37.562Z,enable,system
5,charge,2026-01-01T01:18:37.562Z,begin,cashier
5,charge,2026-01-01T01:19:56.944Z,terminate,cashier
6,process,2026-01-01T01:31:43.800Z,start,system
6,charge,2026-01-01T01:31:43.800Z,enable,system
6,soap,2026-01-01T01:31:43.800Z,enable,system
6,charge,2026-01-01T01:31:43.800Z,begin,cashier
7,process,2026-01-01T01:31:53.548Z,start,system
7,charge,2026-01-01T01:31:53.548Z,enable,system
7,soap,2026-01-01T01:31:53.548Z,enable,system
6,charge,2026-01-01T01:33:10.724Z,terminate,cashier
7,charge,2026-01-01T01:33:10.724Z,begin,cashier
4,soap,2026-01-01T01:34:02.867Z,terminate,attendant-0
4,rinse,2026-01-01T01:34:02.867Z,begin,attendant-0
7,charge,2026-01-01T01:35:50.665Z,terminate,cashier
2,dry,2026-01-01T01:38:54.030Z,terminate,attendant-1
2,process,2026-01-01T01:38:54.030Z,end,system
5,soap,2026-01-01T01:38:54.030Z,begin,attendant-1
4,rinse,2026-01-01T01:39:38.374Z,terminate,attendant-0
4,dry,2026-01-01T01:39:38.374Z,begin,attendant-0
3,dry,2026-01-01T01:45:53.431Z,terminate,attendant-2
3,process,2026-01-01T01:45:53.431Z,end,system
6,soap,2026-01-01T01:45:53.431Z,begin,attendant-2
5,soap,2026-01-01T01:59:02.469Z,terminate,attendant-1
5,rinse,2026-01-01T01:59:02.469Z,begin,attendant-1
4,dry,2026-01-01T01:59:19.591Z,terminate,attendant-0
4,vacuum,2026-01-01T01:59:19.591Z,begin,attendant-0
5,rinse,2026-01-01T02:04:42.876Z,terminate,attendant-1
5,dry,2026-01-01T02:04:42.876Z,begin,attendant-1
6,soap,2026-01-01T02:12:55.104Z,terminate,attendant-2
6,rinse,2026-01-01T02:12:55.104Z,begin,attendant-2
4,vacuum,2026-01-01T02:19:03.336Z,terminate,attendant-0
4,process,2026-01-01T02:19:03.336Z,end,system
7,soap,2026-01-01T02:19:03.336Z,begin,attendant-0
6,rinse,2026-01-01T02:22:16.210Z,terminate,attendant-2
6,dry,2026-01-01T02:22:16.210Z,begin,attendant-2
5,dry,2026-01-01T02:31:26.276Z,terminate,attendant-1
5,vacuum,2026-01-01T02:31:26.276Z,begin,attendant-1
7,soap,2026-01-01T02:34:37.260Z,terminate,attendant-0
7,rinse,2026-01-01T02:34:37.260Z,begin,attendant-0
7,rinse,2026-01-01T02:43:49.173Z,terminate,attendant-0
7,dry,2026-01-01T02:43:49.173Z,begin,attendant-0
5,vacuum,2026-01-01T02:48:25.453Z,terminate,attendant-1
5,process,2026-01-01T02:48:25.453Z,end,system
6,dry,2026-01-01T02:49:39.171Z,terminate,attendant-2
6,process,2026-01-01T02:49:39.171Z,end,system
7,dry,2026-01-01T03:00:57.732Z,terminate,attendant-0
7,vacuum,2026-01-01T03:00:57.732Z,begin,attendant-0
8,process,2026-01-01T03:05:39.951Z,start,system
8,charge,2026-01-01T03:05:39.951Z,enable,system
8,soap,2026-01-01T03:05:39.951Z,enable,system
8,charge,2026-01-01T03:05:39.951Z,begin,cashier
8,soap,2026-01-01T03:05:39.951Z,begin,attendant-1
9,process,2026-01-01T03:07:22.610Z,start,system
9,charge,2026-01-01T03:07:22.610Z,enable,system
9,soap,2026-01-01T03:07:22.610Z,enable,system
9,soap,2026-01-01T03:07:22.610Z,begin,attendant-2
8,charge,2026-01-01T03:07:33.608Z,terminate,cashier
9,charge,2026-01-01T03:07:33.608Z,begin,cashier
9,charge,2026-01-01T03:09:43.579Z,terminate,cashier
7,vacuum,2026-01-01T03:12:54.969Z,terminate,attendant-0
7,process,2026-01-01T03:12:54.969Z,end,system
8,soap,2026-01-01T03:29:31.344Z,terminate,attendant-1
8,rinse,2026-01-01T03:29:31.344Z,begin,attendant-1
9,soap,2026-01-01T03:30:41.158Z,terminate,attendant-2
9,rinse,2026-01-01T03:30:41.158Z,begin,attendant-2
8,rinse,2026-01-01T03:36:52.117Z,terminate,attendant-1
8,dry,2026-01-01T03:36:52.117Z,begin,attendant-1
9,rinse,2026-01-01T03:38:51.876Z,terminate,attendant-2
9,dry,2026-01-01T03:38:51.876Z,begin,attendant-2
10,process,2026-01-01T03:42:34.251Z,start,system
10,charge,2026-01-01T03:42:34.251Z,enable,system
10,soap,2026-01-01T03:42:34.251Z,enable,system
10,charge,2026-01-01T03:42:34.251Z,begin,cashier
10,soap,2026-01-01T03:42:34.251Z,begin,attendant-0
10,charge,2026-01-01T03:43:45.612Z,terminate,cashier
11,process,2026-01-01T03:59:21.630Z,start,system
11,charge,2026-01-01T03:59:21.630Z,enable,system
11,soap,2026-01-01T03:59:21.630Z,enable,system
11,charge,2026-01-01T03:59:21.630Z,begin,cashier
11,charge,2026-01-01T04:00:44.460Z,terminate,cashier
10,soap,2026-01-01T04:01:50.571Z,terminate,attendant-0
10,rinse,2026-01-01T04:01:50.571Z,begin,attendant-0
9,dry,2026-01-01T04:06:22.772Z,terminate,attendant-2
9,process,2026-01-01T04:06:22.772Z,end,system
11,soap,2026-01-01T04:06:22.772Z,begin,attendant-2
10,rinse,2026-01-01T04:09:10.891Z,terminate,attendant-0
10,dry,2026-01-01T04:09:10.891Z,begin,attendant-0
8,dry,2026-01-01T04:10:00.351Z,terminate,attendant-1
8,process,2026-01-01T04:10:00.351Z,end,system
10,dry,2026-01-01T04:30:29.150Z,terminate,attendant-0
10,vacuum,2026-01-01T04:30:29.150Z,begin,attendant-0
11,soap,2026-01-01T04:31:22.500Z,terminate,attendant-2
11,rinse,2026-01-01T04:31:22.500Z,begin,attendant-2
11,rinse,2026-01-01T04:37:09.813Z,terminate,attendant-2
11,dry,2026-01-01T04:37:09.813Z,begin,attendant-2
12,process,2026-01-01T04:43:04.639Z,start,system
12,charge,2026-01-01T04:43:04.639Z,enable,system
12,soap,2026-01-01T04:43:04.639Z,enable,system
12,charge,2026-01-01T04:43:04.639Z,begin,cashier
12,soap,2026-01-01T04:43:04.639Z,begin,attendant-1
10,vacuum,2026-01-01T04:43:24.490Z,terminate,attendant-0
10,process,2026-01-01T04:43:24.490Z,end,system
12,charge,2026-01-01T04:46:34.892Z,terminate,cashier
11,dry,2026-01-01T04:59:36.966Z,terminate,attendant-2
11,vacuum,2026-01-01T04:59:36.966Z,begin,attendant-2
12,soap,2026-01-01T05:04:44.217Z,terminate,attendant-1
12,rinse,2026-01-01T05:04:44.217Z,begin,attendant-1
12,rinse,2026-01-01T05:10:52.002Z,terminate,attendant-1
12,dry,2026-01-01T05:10:52.002Z,begin,attendant-1
11,vacuum,2026-01-01T05:22:43.514Z,terminate,attendant-2
11,process,2026-01-01T05:22:43.514Z,end,system
12,dry,2026-01-01T05:34:17.005Z,terminate,attendant-1
12,process,2026-01-01T05:34:17.005Z,end,system
13,process,2026-01-01T05:37:37.130Z,start,system
13,charge,2026-01-01T05:37:37.130Z,enable,system
13,soap,2026-01-01T05:37:37.130Z,enable,system
13,charge,2026-01-01T05:37:37.130Z,begin,cashier
13,soap,2026-01-01T05:37:37.130Z,begin,attendant-0
14,process,2026-01-01T05:38:30.386Z,start,system
14,charge,2026-01-01T05:38:30.386Z,enable,system
14,soap,2026-01-01T05:38:30.386Z,enable,system
14,soap,2026-01-01T05:38:30.386Z,begin,attendant-2
13,charge,2026-01-01T05:38:44.620Z,terminate,cashier
14,charge,2026-01-01T05:38:44.620Z,begin,cashier
14,charge,2026-01-01T05:40:09.001Z,terminate,cashier
13,soap,2026-01-01T05:55:58.928Z,terminate,attendant-0
13,rinse,2026-01-01T05:55:58.928Z,begin,attendant-0
13,rinse,2026-01-01T06:02:48.528Z,terminate,attendant-0
13,dry,2026-01-01T06:02:48.528Z,begin,attendant-0
14,soap,2026-01-01T06:02:52.903Z,terminate,attendant-2
14,rinse,2026-01-01T06:02:52.903Z,begin,attendant-2
14,rinse,2026-01-01T06:09:01.025Z,terminate,attendant-2
14,dry,2026-01-01T06:09:01.025Z,begin,attendant-2
15,process,2026-01-01T06:30:03.423Z,start,system
15,charge,2026-01-01T06:30:03.423Z,enable,system
15,soap,2026-01-01T06:30:03.423Z,enable,system
15,charge,2026-01-01T06:30:03.423Z,begin,cashier
