Case ID,Activity,Timestamp,Lifecycle,Resource
1,process,2026-01-01T00:07:29.864Z,start,system
1,charge,2026-01-01T00:07:29.864Z,enable,system
1,soap,2026-01-01T00:07:29.864Z,enable,system
1,charge,2026-01-01T00:07:29.864Z,begin,cashier
1,soap,2026-01-01T00:07:29.864Z,begin,attendant-0
1,charge,2026-01-01T00:08:30.613Z,terminate,cashier
2,process,2026-01-01T00:10:27.118Z,start,system
2,charge,2026-01-01T00:10:27.118Z,enable,system
2,soap,2026-01-01T00:10:27.118Z,enable,system
2,charge,2026-01-01T00:10:27.118Z,begin,cashier
2,soap,2026-01-01T00:10:27.118Z,begin,attendant-1
2,charge,2026-01-01T00:13:47.443Z,terminate,cashier
3,process,2026-01-01T00:21:19.116Z,start,system
3,charge,2026-01-01T00:21:19.116Z,enable,system
3,soap,2026-01-01T00:21:19.116Z,enable,system
3,charge,2026-01-01T00:21:19.116Z,begin,cashier
3,soap,2026-01-01T00:21:19.116Z,begin,attendant-2
3,charge,2026-01-01T00:22:54.393Z,terminate,cashier
1,soap,2026-01-01T00:27:10.743Z,terminate,attendant-0
1,rinse,2026-01-01T00:27:10.743Z,begin,attendant-0
1,rinse,2026-01-01T00:34:06.388Z,terminate,attendant-0
1,dry,2026-01-01T00:34:06.388Z,begin,attendant-0
2,soap,2026-01-01T00:34:24.923Z,terminate,attendant-1
2,rinse,2026-01-01T00:34:24.923Z,begin,attendant-1
2,rinse,2026-01-01T00:43:46.363Z,terminate,attendant-1
2,dry,2026-01-01T00:43:46.363Z,begin,attendant-1
4,process,2026-01-01T00:46:53.039Z,start,system
4,charge,2026-01-01T00:46:53.039Z,enable,system
4,soap,2026-01-01T00:46:53.039Z,enable,system
4,charge,2026-01-01T00:46:53.039Z,begin,cashier
5,process,2026-01-01T00:47:03.269Z,start,system
5,charge,2026-01-01T00:47:03.269Z,enable,system
5,soap,2026-01-01T00:47:03.269Z,enable,system
4,charge,2026-01-01T00:48:49.576Z,terminate,cashier
5,charge,2026-01-01T00:48:49.576Z,begin,cashier
3,soap,2026-01-01T00:49:21.968Z,terminate,attendant-2
3,rinse,2026-01-01T00:49:21.968Z,begin,attendant-2
5,charge,2026-01-01T00:50:28.966Z,terminate,cashier
6,process,2026-01-01T00:56:58.833Z,start,system
6,charge,2026-01-01T00:56:58.833Z,enable,system
6,soap,2026-01-01T00:56:58.833Z,enable,system
6,charge,2026-01-01T00:56:58.833Z,begin,cashier
3,rinse,2026-01-01T00:57:20.393Z,terminate,attendant-2
3,dry,2026-01-01T00:57:20.393Z,begin,attendant-2
1,dry,2026-01-01T00:57:49.407Z,terminate,attendant-0
1,process,2026-01-01T00:57:49.407Z,end,system
4,soap,2026-01-01T00:57:49.407Z,begin,attendant-0
6,charge,2026-01-01T00:58:36.506Z,terminate,cashier
7,process,2026-01-01T01:00:21.508Z,start,system
7,charge,2026-01-01T01:00:21.508Z,enable,system
7,soap,2026-01-01T01:00:21.508Z,enable,system
7,charge,2026-01-01T01:00:21.508Z,begin,cashier
7,charge,2026-01-01T01:02:05.625Z,terminate,cashier
2,dry,2026-01-01T01:04:22.871Z,terminate,attendant-1
2,process,2026-01-01T01:04:22.871Z,end,system
5,soap,2026-01-01T01:04:22.871Z,begin,attendant-1
4,soap,2026-01-01T01:18:26.535Z,terminate,attendant-0
4,rinse,2026-01-01T01:18:26.535Z,begin,attendant-0
8,process,2026-01-01T01:22:07.359Z,start,system
8,charge,2026-01-01T01:22:07.359Z,enable,system
8,soap,2026-01-01T01:22:07.359Z,enable,system
8,charge,2026-01-01T01:22:07.359Z,begin,cashier
8,charge,2026-01-01T01:24:52.114Z,terminate,cashier
4,rinse,2026-01-01T01:26:10.482Z,terminate,attendant-0
4,dry,2026-01-01T01:26:10.482Z,begin,attendant-0
5,soap,2026-01-01T01:28:06.429Z,terminate,attendant-1
5,rinse,2026-01-01T01:28:06.429Z,begin,attendant-1
3,dry,2026-01-01T01:28:58.296Z,terminate,attendant-2
3,vacuum,2026-01-01T01:28:58.296Z,begin,attendant-2
5,rinse,2026-01-01T01:35:11.893Z,terminate,attendant-1
5,dry,2026-01-01T01:35:11.893Z,begin,attendant-1
4,dry,2026-01-01T01:43:20.717Z,terminate,attendant-0
4,process,2026-01-01T01:43:20.717Z,end,system
6,soap,2026-01-01T01:43:20.717Z,begin,attendant-0
3,vacuum,2026-01-01T01:47:37.067Z,terminate,attendant-2
3,process,2026-01-01T01:47:37.067Z,end,system
7,soap,2026-01-01T01:47:37.067Z,begin,attendant-2
6,soap,2026-01-01T02:01:56.448Z,terminate,attendant-0
6,rinse,2026-01-01T02:01:56.448Z,begin,attendant-0
5,dry,2026-01-01T02:02:40.649Z,terminate,attendant-1
5,vacuum,2026-01-01T02:02:40.649Z,begin,attendant-1
6,rinse,2026-01-01T02:11:39.204Z,terminate,attendant-0
6,dry,2026-01-01T02:11:39.204Z,begin,attendant-0
7,soap,2026-01-01T02:13:36.423Z,terminate,attendant-2
7,rinse,2026-01-01T02:13:36.423Z,begin,attendant-2
9,process,2026-01-01T02:15:28.886Z,start,system
9,charge,2026-01-01T02:15:28.886Z,enable,system
9,soap,2026-01-01T02:15:28.886Z,enable,system
9,charge,2026-01-01T02:15:28.886Z,begin,cashier
9,charge,2026-01-01T02:17:17.141Z,terminate,cashier
7,rinse,2026-01-01T02:20:33.438Z,terminate,attendant-2
7,dry,2026-01-01T02:20:33.438Z,begin,attendant-2
5,vacuum,2026-01-01T02:26:36.836Z,terminate,attendant-1
5,process,2026-01-01T02:26:36.836Z,end,system
8,soap,2026-01-01T02:26:36.836Z,begin,attendant-1
6,dry,2026-01-01T02:35:31.793Z,terminate,attendant-0
6,vacuum,2026-01-01T02:35:31.793Z,begin,attendant-0
7,dry,2026-01-01T02:40:37.430Z,terminate,attendant-2
7,process,2026-01-01T02:40:37.430Z,end,system
9,soap,2026-01-01T02:40:37.430Z,begin,attendant-2
8,soap,2026-01-01T02:42:30.895Z,terminate,attendant-1
8,rinse,2026-01-01T02:42:30.895Z,begin,attendant-1
8,rinse,2026-01-01T02:51:05.808Z,terminate,attendant-1
8,dry,2026-01-01T02:51:05.808Z,begin,attendant-1
10,process,2026-01-01T02:51:55.135Z,start,system
10,charge,2026-01-01T02:51:55.135Z,enable,system
10,soap,2026-01-01T02:51:55.135Z,enable,system
10,charge,2026-01-01T02:51:55.135Z,begin,cashier
10,charge,2026-01-01T02:54:16.680Z,terminate,cashier
6,vacuum,2026-01-01T02:54:34.919Z,terminate,attendant-0
6,process,2026-01-01T02:54:34.919Z,end,system
10,soap,2026-01-01T02:54:34.919Z,begin,attendant-0
9,soap,2026-01-01T03:00:40.905Z,terminate,attendant-2
9,rinse,2026-01-01T03:00:40.905Z,begin,attendant-2
11,process,2026-01-01T03:07:51.409Z,start,system
11,charge,2026-01-01T03:07:51.409Z,enable,system
11,soap,2026-01-01T03:07:51.409Z,enable,system
11,charge,2026-01-01T03:07:51.409Z,begin,cashier
9,rinse,2026-01-01T03:08:38.047Z,terminate,attendant-2
9,dry,2026-01-01T03:08:38.047Z,begin,attendant-2
11,charge,2026-01-01T03:09:59.301Z,terminate,cashier
12,process,2026-01-01T03:10:44.631Z,start,system
12,charge,2026-01-01T03:10:44.631Z,enable,system
12,soap,2026-01-01T03:10:44.631Z,enable,system
12,charge,2026-01-01T03:10:44.631Z,begin,cashier
10,soap,2026-01-01T03:11:06.617Z,terminate,attendant-0
10,rinse,2026-01-01T03:11:06.617Z,begin,attendant-0
12,charge,2026-01-01T03:12:22.380Z,terminate,cashier
8,dry,2026-01-01T03:16:57.491Z,terminate,attendant-1
8,vacuum,2026-01-01T03:16:57.491Z,begin,attendant-1
10,rinse,2026-01-01T03:18:42.780Z,terminate,attendant-0
10,dry,2026-01-01T03:18:42.780Z,begin,attendant-0
9,dry,2026-01-01T03:30:23.522Z,terminate,attendant-2
9,vacuum,2026-01-01T03:30:23.522Z,begin,attendant-2
8,vacuum,2026-01-01T03:36:24.784Z,terminate,attendant-1
8,process,2026-01-01T03:36:24.784Z,end,system
11,soap,2026-01-01T03:36:24.784Z,begin,attendant-1
9,vacuum,2026-01-01T03:40:42.391Z,terminate,attendant-2
9,process,2026-01-01T03:40:42.391Z,end,system
12,soap,2026-01-01T03:40:42.391Z,begin,attendant-2
10,dry,2026-01-01T03:41:14.837Z,terminate,attendant-0
10,process,2026-01-01T03:41:14.837Z,end,system
11,soap,2026-01-01T03:57:00.292Z,terminate,attendant-1
11,rinse,2026-01-01T03:57:00.292Z,begin,attendant-1
12,soap,2026-01-01T04:02:49.513Z,terminate,attendant-2
12,rinse,2026-01-01T04:02:49.513Z,begin,attendant-2
11,rinse,2026-01-01T04:04:47.026Z,terminate,attendant-1
11,dry,2026-01-01T04:04:47.026Z,begin,attendant-1
12,rinse,2026-01-01T04:08:31.210Z,terminate,attendant-2
12,dry,2026-01-01T04:08:31.210Z,begin,attendant-2
13,process,2026-01-01T04:20:50.011Z,start,system
13,charge,2026-01-01T04:20:50.011Z,enable,system
13,soap,2026-01-01T04:20:50.011Z,enable,system
13,charge,2026-01-01T04:20:50.011Z,begin,cashier
13,soap,2026-01-01T04:20:50.011Z,begin,attendant-0
13,charge,2026-01-01T04:22:12.236Z,terminate,cashier
11,dry,2026-01-01T04:30:19.623Z,terminate,attendant-1
11,vacuum,2026-01-01T04:30:19.623Z,begin,attendant-1
12,dry,2026-01-01T04:38:40.629Z,terminate,attendant-2
12,process,2026-01-01T04:38:40.629Z,end,system
14,process,2026-01-01T04:38:47.760Z,start,system
14,charge,2026-01-01T04:38:47.760Z,enable,system
14,soap,2026-01-01T04:38:47.760Z,enable,system
14,charge,2026-01-01T04:38:47.760Z,begin,cashier
14,soap,2026-01-01T04:38:47.760Z,begin,attendant-2
14,charge,2026-01-01T04:39:42.537Z,terminate,cashier
13,soap,2026-01-01T04:39:46.849Z,terminate,attendant-0
13,rinse,2026-01-01T04:39:46.849Z,begin,attendant-0
15,process,2026-01-01T04:44:00.227Z,start,system
15,charge,2026-01-01T04:44:00.227Z,enable,system
15,soap,2026-01-01T04:44:00.227Z,enable,system
15,charge,2026-01-01T04:44:00.227Z,begin,cashier
15,charge,2026-01-01T04:45:11.665Z,terminate,cashier
11,vacuum,2026-01-01T04:48:20.048Z,terminate,attendant-1
11,process,2026-01-01T04:48:20.048Z,end,system
15,soap,2026-01-01T04:48:20.048Z,begin,attendant-1
13,rinse,2026-01-01T04:49:29.968Z,terminate,attendant-0
13,dry,2026-01-01T04:49:29.968Z,begin,attendant-0
16,process,2026-01-01T04:57:12.451Z,start,system
16,charge,2026-01-01T04:57:12.451Z,enable,system
16,soap,2026-01-01T04:57:12.451Z,enable,system
16,charge,2026-01-01T04:57:12.451Z,begin,cashier
16,charge,2026-01-01T04:59:07.647Z,terminate,cashier
14,soap,2026-01-01T05:00:23.077Z,terminate,attendant-2
14,rinse,2026-01-01T05:00:23.077Z,begin,attendant-2
17,process,2026-01-01T05:06:33.150Z,start,system
17,charge,2026-01-01T05:06:33.150Z,enable,system
17,soap,2026-01-01T05:06:33.150Z,enable,system
17,charge,2026-01-01T05:06:33.150Z,begin,cashier
17,charge,2026-01-01T05:08:13.372Z,terminate,cashier
13,dry,2026-01-01T05:08:58.133Z,terminate,attendant-0
13,process,2026-01-01T05:08:58.133Z,end,system
16,soap,2026-01-01T05:08:58.133Z,begin,attendant-0
14,rinse,2026-01-01T05:09:28.065Z,terminate,attendant-2
14,dry,2026-01-01T05:09:28.065Z,begin,attendant-2
15,soap,2026-01-01T05:10:04.404Z,terminate,attendant-1
15,rinse,2026-01-01T05:10:04.404Z,begin,attendant-1
18,process,2026-01-01T05:17:29.288Z,start,system
18,charge,2026-01-01T05:17:29.288Z,enable,system
18,soap,2026-01-01T05:17:29.288Z,enable,system
18,charge,2026-01-01T05:17:29.288Z,begin,cashier
15,rinse,2026-01-01T05:19:31.614Z,terminate,attendant-1
15,dry,2026-01-01T05:19:31.614Z,begin,attendant-1
18,charge,2026-01-01T05:20:22.351Z,terminate,cashier
16,soap,2026-01-01T05:31:10.799Z,terminate,attendant-0
16,rinse,2026-01-01T05:31:10.799Z,begin,attendant-0
14,dry,2026-01-01T05:37:15.167Z,terminate,attendant-2
14,vacuum,2026-01-01T05:37:15.167Z,begin,attendant-2
15,dry,2026-01-01T05:37:57.230Z,terminate,attendant-1
15,process,2026-01-01T05:37:57.230Z,end,system
17,soap,2026-01-01T05:37:57.230Z,begin,attendant-1
16,rinse,2026-01-01T05:38:41.378Z,terminate,attendant-0
16,dry,2026-01-01T05:38:41.378Z,begin,attendant-0
14,vacuum,2026-01-01T05:48:12.255Z,terminate,attendant-2
14,process,2026-01-01T05:48:12.255Z,end,system
18,soap,2026-01-01T05:48:12.255Z,begin,attendant-2
17,soap,2026-01-01T05:58:14.625Z,terminate,attendant-1
17,rinse,2026-01-01T05:58:14.625Z,begin,attendant-1
16,dry,2026-01-01T06:03:13.146Z,terminate,attendant-0
16,vacuum,2026-01-01T06:03:13.146Z,begin,attendant-0
17,rinse,2026-01-01T06:04:26.727Z,terminate,attendant-1
17,dry,2026-01-01T06:04:26.727Z,begin,attendant-1
18,soap,2026-01-01T06:06:41.227Z,terminate,attendant-2
18,rinse,2026-01-01T06:06:41.227Z,begin,attendant-2
18,rinse,2026-01-01T06:13:35.485Z,terminate,attendant-2
18,dry,2026-01-01T06:13:35.485Z,begin,attendant-2
19,process,2026-01-01T06:14:16.932Z,start,system
19,charge,2026-01-01T06:14:16.932Z,enable,system
19,soap,2026-01-01T06:14:16.932Z,enable,system
19,charge,2026-01-01T06:14:16.932Z,begin,cashier
16,vacuum,2026-01-01T06:15:00.022Z,terminate,attendant-0
16,process,2026-01-01T06:15:00.022Z,end,system
19,soap,2026-01-01T06:15:00.022Z,begin,attendant-0
19,charge,2026-01-01T06:17:41.677Z,terminate,cashier
17,dry,2026-01-01T06:25:42.990Z,terminate,attendant-1
17,vacuum,2026-01-01T06:25:42.990Z,begin,attendant-1
17,vacuum,2026-01-01T06:33:36.509Z,terminate,attendant-1
17,process,2026-01-01T06:33:36.509Z,end,system
18,dry,2026-01-01T06:40:39.803Z,terminate,attendant-2
18,process,2026-01-01T06:40:39.803Z,end,system
19,soap,2026-01-01T06:42:58.323Z,terminate,attendant-0
19,rinse,2026-01-01T06:42:58.323Z,begin,attendant-0
19,rinse,2026-01-01T06:50:56.516Z,terminate,attendant-0
19,dry,2026-01-01T06:50:56.516Z,begin,attendant-0
19,dry,2026-01-01T07:16:30.288Z,terminate,attendant-0
19,process,2026-01-01T07:16:30.288Z,end,system
20,process,2026-01-01T07:52:46.130Z,start,system
20,charge,2026-01-01T07:52:46.130Z,enable,system
20,soap,2026-01-01T07:52:46.130Z,enable,system
20,charge,2026-01-01T07:52:46.130Z,begin,cashier
20,soap,2026-01-01T07:52:46.130Z,begin,attendant-1
20,charge,2026-01-01T07:54:42.085Z,terminate,cashier
20,soap,2026-01-01T08:15:03.593Z,terminate,attendant-1
20,rinse,2026-01-01T08:15:03.593Z,begin,attendant-1
20,rinse,2026-01-01T08:23:25.480Z,terminate,attendant-1
20,dry,2026-01-01T08:23:25.480Z,begin,attendant-1
20,dry,2026-01-01T08:48:46.754Z,terminate,attendant-1
20,process,2026-01-01T08:48:46.754Z,end,system
21,process,2026-01-01T09:00:55.011Z,start,system
21,charge,2026-01-01T09:00:55.011Z,enable,system
21,soap,2026-01-01T09:00:55.011Z,enable,system
21,charge,2026-01-01T09:00:55.011Z,begin,cashier
21,soap,2026-01-01T09:00:55.011Z,begin,attendant-2
21,charge,2026-01-01T09:03:38.451Z,terminate,cashier
22,process,2026-01-01T09:17:34.900Z,start,system
22,charge,2026-01-01T09:17:34.900Z,enable,system
22,soap,2026-01-01T09:17:34.900Z,enable,system
22,charge,2026-01-01T09:17:34.900Z,begin,cashier
22,soap,2026-01-01T09:17:34.900Z,begin,attendant-0
22,charge,2026-01-01T09:18:35.600Z,terminate,cashier
21,soap,2026-01-01T09:25:58.471Z,terminate,attendant-2
21,rinse,2026-01-01T09:25:58.471Z,begin,attendant-2
21,rinse,2026-01-01T09:31:42.183Z,terminate,attendant-2
21,dry,2026-01-01T09:31:42.183Z,begin,attendant-2
23,process,2026-01-01T09:35:29.054Z,start,system
23,charge,2026-01-01T09:35:29.054Z,enable,system
23,soap,2026-01-01T09:35:29.054Z,enable,system
23,charge,2026-01-01T09:35:29.054Z,begin,cashier
23,soap,2026-01-01T09:35:29.054Z,begin,attendant-1
23,charge,2026-01-01T09:37:51.040Z,terminate,cashier
22,soap,2026-01-01T09:43:21.358Z,terminate,attendant-0
22,rinse,2026-01-01T09:43:21.358Z,begin,attendant-0
24,process,2026-01-01T09:44:16.045Z,start,system
24,charge,2026-01-01T09:44:16.045Z,enable,system
24,soap,2026-01-01T09:44:16.045Z,enable,system
24,charge,2026-01-01T09:44:16.045Z,begin,cashier
24,charge,2026-01-01T09:46:05.466Z,terminate,cashier
22,rinse,2026-01-01T09:50:29.897Z,terminate,attendant-0
22,dry,2026-01-01T09:50:29.897Z,begin,attendant-0
21,dry,2026-01-01T09:54:22.298Z,terminate,attendant-2
21,process,2026-01-01T09:54:22.298Z,end,system
24,soap,2026-01-01T09:54:22.298Z,begin,attendant-2
23,soap,2026-01-01T09:56:24.291Z,terminate,attendant-1
23,rinse,2026-01-01T09:56:24.291Z,begin,attendant-1
23,rinse,2026-01-01T10:03:17.949Z,terminate,attendant-1
23,dry,2026-01-01T10:03:17.949Z,begin,attendant-1
22,dry,2026-01-01T10:10:48.541Z,terminate,attendant-0
22,process,2026-01-01T10:10:48.541Z,end,system
24,soap,2026-01-01T10:21:57.901Z,terminate,attendant-2
24,rinse,2026-01-01T10:21:57.901Z,begin,attendant-2
23,dry,2026-01-01T10:27:29.344Z,terminate,attendant-1
23,process,2026-01-01T10:27:29.344Z,end,system
24,rinse,2026-01-01T10:29:04.158Z,terminate,attendant-2
24,dry,2026-01-01T10:29:04.158Z,begin,attendant-2
25,process,2026-01-01T10:57:49.860Z,start,system
25,charge,2026-01-01T10:57:49.860Z,enable,system
25,soap,2026-01-01T10:57:49.860Z,enable,system
25,charge,2026-01-01T10:57:49.860Z,begin,cashier
25,soap,2026-01-01T10:57:49.860Z,begin,attendant-0
25,charge,2026-01-01T11:00:28.786Z,terminate,cashier
24,dry,2026-01-01T11:02:57.241Z,terminate,attendant-2
24,process,2026-01-01T11:02:57.241Z,end,system
25,soap,2026-01-01T11:15:24.049Z,terminate,attendant-0
25,rinse,2026-01-01T11:15:24.049Z,begin,attendant-0
25,rinse,2026-01-01T11:23:48.628Z,terminate,attendant-0
25,dry,2026-01-01T11:23:48.628Z,begin,attendant-0
26,process,2026-01-01T11:28:10.467Z,start,system
26,charge,2026-01-01T11:28:10.467Z,enable,system
26,soap,2026-01-01T11:28:10.467Z,enable,system
26,charge,2026-01-01T11:28:10.467Z,begin,cashier
26,soap,2026-01-01T11:28:10.467Z,begin,attendant-1
26,charge,2026-01-01T11:29:35.637Z,terminate,cashier
26,soap,2026-01-01T11:51:23.590Z,terminate,attendant-1
26,rinse,2026-01-01T11:51:23.590Z,begin,attendant-1
25,dry,2026-01-01T11:51:27.045Z,terminate,attendant-0
25,process,2026-01-01T11:51:27.045Z,end,system
26,rinse,2026-01-01T11:58:37.788Z,terminate,attendant-1
26,dry,2026-01-01T11:58:37.788Z,begin,attendant-1
27,process,2026-01-01T12:09:29.880Z,start,system
27,charge,2026-01-01T12:09:29.880Z,enable,system
27,soap,2026-01-01T12:09:29.880Z,enable,system
27,charge,2026-01-01T12:09:29.880Z,begin,cashier
27,soap,2026-01-01T12:09:29.880Z,begin,attendant-2
27,charge,2026-01-01T12:11:22.004Z,terminate,cashier
28,process,2026-01-01T12:16:47.233Z,start,system
28,charge,2026-01-01T12:16:47.233Z,enable,system
28,soap,2026-01-01T12:16:47.233Z,enable,system
